,date,PM2.5 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3)
0,2019-06-04,13.98875,62.56375,15.37375,4.8575,0.32,10.8375
1,2019-06-05,,,,,,
2,2019-06-06,15.025333333333332,61.16,22.66466666666667,5.441428571428572,0.38733333333333336,12.756428571428572
3,2019-06-07,13.354999999999999,59.939166666666665,24.87708333333333,5.984999999999999,0.36333333333333334,11.045416666666668
4,2019-06-08,15.538333333333334,84.52333333333333,23.471249999999998,7.585,0.4191666666666667,11.38375
5,2019-06-09,15.306666666666667,69.01375,20.8225,7.12625,0.30041666666666667,15.547083333333333
6,2019-06-10,18.014583333333334,61.9925,36.86083333333333,7.252916666666667,0.4795833333333333,21.3425
7,2019-06-11,19.997142857142858,59.67285714285715,52.32583333333333,7.16,0.6620833333333334,40.74826086956522
8,2019-06-12,18.4135,60.854,28.206521739130434,7.795000000000001,0.3904347826086957,20.1
9,2019-06-13,17.710416666666667,80.97041666666667,25.862916666666667,8.633684210526315,0.23666666666666666,13.707500000000001
10,2019-06-14,18.046666666666667,57.208333333333336,26.939166666666665,6.954166666666667,0.36227272727272725,11.885833333333332
11,2019-06-15,16.752083333333335,48.35333333333333,26.377,6.50375,0.395,11.3775
12,2019-06-16,15.080416666666666,58.385416666666664,20.111666666666668,7.0874999999999995,0.3183333333333333,16.01666666666667
13,2019-06-17,14.61125,59.43625,15.92875,7.355,0.28791666666666665,16.600833333333334
14,2019-06-18,15.669166666666667,54.09458333333333,21.43166666666667,7.591666666666666,0.39625,14.378333333333332
15,2019-06-19,18.279166666666665,58.86875,23.05541666666667,8.32875,0.4795833333333333,9.230833333333333
16,2019-06-20,21.080000000000002,96.02333333333333,19.149583333333332,9.03875,0.4454166666666666,8.595
17,2019-06-21,20.27125,83.51416666666667,20.27541666666667,8.925833333333333,0.41500000000000004,9.379166666666666
18,2019-06-22,23.707083333333333,110.9375,22.583333333333332,9.232083333333334,0.44708333333333333,9.4375
19,2019-06-23,22.302083333333332,98.12458333333332,20.482499999999998,9.169583333333334,0.39208333333333334,9.044583333333334
20,2019-06-24,23.938333333333333,85.16041666666666,24.587083333333336,9.379166666666666,0.5679166666666667,8.342916666666666
21,2019-06-25,19.9225,54.58791666666667,22.390416666666667,9.321666666666667,0.43166666666666664,11.1425
22,2019-06-26,15.345416666666667,42.78125,20.907916666666665,9.071250000000001,0.4345833333333333,10.9775
23,2019-06-27,9.669583333333334,24.523750000000003,22.872500000000002,9.165000000000001,0.45166666666666666,10.708333333333334
24,2019-06-28,6.6275,21.46090909090909,22.521666666666665,8.602727272727272,0.3858333333333333,11.579166666666666
25,2019-06-29,,,,,,
26,2019-06-30,,,,,,
27,2019-07-01,,,,,,
28,2019-07-02,,,,,,
29,2019-07-03,12.0,,29.268,107.97,1.451818181818182,9.141818181818183
30,2019-07-04,28.223000000000003,60.71363636363637,21.67125,12.526,1.1670833333333333,6.955416666666667
31,2019-07-05,16.861250000000002,55.36708333333333,23.742500000000003,11.387916666666667,0.7133333333333334,6.90125
32,2019-07-06,11.707916666666668,46.53208333333333,21.090833333333332,10.664583333333333,0.4879166666666667,11.961666666666666
33,2019-07-07,13.336666666666666,61.06,18.035833333333333,10.114583333333334,0.4504166666666667,12.300833333333335
34,2019-07-08,9.445555555555556,40.19888888888889,21.329583333333332,10.24388888888889,0.5287499999999999,9.948333333333332
35,2019-07-09,10.003333333333334,45.68538461538461,19.117916666666666,9.219,0.3491666666666667,16.444166666666668
36,2019-07-10,8.250416666666666,28.705833333333334,23.029545454545453,9.81625,0.44375000000000003,6.7975
37,2019-07-11,9.68578947368421,46.3915,16.257083333333334,8.840526315789473,0.30375,5.644166666666667
38,2019-07-12,10.041666666666666,46.85333333333333,17.884166666666665,9.4225,0.24250000000000002,9.735833333333334
39,2019-07-13,8.959166666666667,45.73083333333333,17.982916666666664,9.437916666666666,0.2941666666666667,4.995833333333334
40,2019-07-14,8.957083333333333,43.48041666666666,16.437916666666666,9.894166666666667,0.29458333333333336,7.464583333333334
41,2019-07-15,10.5425,59.74166666666667,14.869583333333333,10.318333333333333,0.29583333333333334,7.359999999999999
42,2019-07-16,11.45875,53.93,15.073333333333332,10.200416666666667,0.35208333333333336,5.65625
43,2019-07-17,14.8375,63.377916666666664,15.779166666666667,10.764583333333334,0.38083333333333336,5.771249999999999
44,2019-07-18,14.41625,68.10333333333334,20.390833333333333,10.7525,0.38458333333333333,7.3879166666666665
45,2019-07-19,22.45625,94.66208333333333,19.672916666666666,11.685,0.4566666666666667,6.570416666666667
46,2019-07-20,25.376666666666665,75.69708333333334,26.855833333333333,11.566249999999998,0.69875,7.757916666666667
47,2019-07-21,28.41541666666667,65.79125,33.44,11.7675,0.71125,12.551666666666668
48,2019-07-22,11.955833333333333,34.93125,27.271666666666665,10.88875,0.44333333333333336,17.91375
49,2019-07-23,6.041304347826086,28.532916666666665,28.384583333333335,10.14875,0.3958333333333333,12.385416666666666
50,2019-07-24,8.001304347826087,21.88,26.671666666666667,9.3325,0.47500000000000003,7.892083333333333
51,2019-07-25,13.373750000000001,43.3775,25.78833333333333,10.432083333333333,0.5220833333333333,6.480416666666667
52,2019-07-26,12.209166666666667,43.525,14.594347826086958,10.641666666666667,0.39916666666666667,6.447083333333333
53,2019-07-27,11.625416666666666,46.169999999999995,1.11,8.852916666666667,0.37833333333333335,6.769583333333333
54,2019-07-28,14.832083333333335,59.274166666666666,1.865,9.837916666666667,0.3466666666666667,8.50375
