,date,PM2.5 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3)
0,2010-11-01,,,50.91708333333333,11.064285714285713,,15.86125
1,2010-11-02,,,51.75833333333333,11.828695652173913,,15.261666666666668
2,2010-11-03,,,45.84461538461539,11.341666666666667,,12.462307692307691
3,2010-11-04,,,49.884,16.034285714285712,3.31,38.358
4,2010-11-05,,,47.594166666666666,10.807727272727274,,32.98416666666667
5,2010-11-06,,,42.27875,10.678181818181818,,38.86083333333333
6,2010-11-07,,,41.43875,8.768636363636363,,39.904583333333335
7,2010-11-08,,,42.255,11.317142857142857,,47.16208333333333
8,2010-11-09,,,40.65869565217391,9.065238095238096,,46.2395652173913
9,2010-11-10,,,33.09173913043478,6.232608695652174,,101.11521739130436
10,2010-11-11,,,41.29882352941177,8.756470588235295,0.11,116.8564705882353
11,2010-11-12,,,20.87769230769231,6.659230769230769,0.01,132.45384615384617
12,2010-11-13,,,65.41312500000001,9.223749999999999,0.030000000000000002,99.105625
13,2010-11-14,,,46.21625,7.483333333333333,,89.72250000000001
14,2010-11-15,,,51.00260869565217,8.808695652173913,,94.46260869565216
15,2010-11-16,,,43.75333333333333,8.507777777777777,,105.39277777777778
16,2010-11-17,,,28.30333333333333,5.884347826086957,,129.57708333333332
17,2010-11-18,,,23.47083333333333,6.906666666666666,,121.67875
18,2010-11-19,,,29.962272727272726,7.588636363636363,,111.02136363636363
19,2010-11-20,,,23.966190476190476,8.992857142857142,0.05,152.28157894736842
20,2010-11-21,,,26.318095238095236,10.547142857142857,0.01,143.068
21,2010-11-22,,,59.06166666666667,10.797727272727274,0.1,98.53666666666668
22,2010-11-23,,,45.79416666666666,10.692608695652174,0.19333333333333333,87.25875
23,2010-11-24,,,36.3825,9.407391304347826,0.12588235294117647,87.95625
24,2010-11-25,,,47.517500000000005,9.231739130434782,0.6116666666666667,71.685
25,2010-11-26,,,30.720909090909092,11.140454545454546,0.2977777777777778,60.83545454545454
26,2010-11-27,,,45.830869565217384,11.44391304347826,0.982,43.70083333333333
27,2010-11-28,,,39.236666666666665,11.98391304347826,0.845,54.49791666666667
28,2010-11-29,,,33.6475,6.700833333333333,,83.13250000000001
29,2010-11-30,,,31.926666666666666,8.116666666666667,,90.22208333333333
30,2010-12-01,,,46.0325,8.338333333333333,,59.356249999999996
31,2010-12-02,,,43.69904761904762,7.80904761904762,,48.75142857142857
32,2010-12-03,,,33.18125,7.619583333333334,,48.712916666666665
33,2010-12-04,,,31.929583333333337,7.961666666666667,,50.627916666666664
34,2010-12-05,,,29.710869565217394,9.270416666666668,0.22,44.86083333333334
35,2010-12-06,,,32.929545454545455,9.589166666666666,,34.062083333333334
36,2010-12-07,,,37.309999999999995,7.797499999999999,,36.528333333333336
37,2010-12-08,,,34.13916666666667,7.710416666666667,,37.979166666666664
38,2010-12-09,,,43.43208333333334,7.024583333333333,,41.42958333333333
39,2010-12-10,,,28.26391304347826,6.810434782608695,,56.686521739130434
40,2010-12-11,,,25.028750000000002,7.070833333333333,,74.6125
41,2010-12-12,,,25.83181818181818,8.110454545454546,0.905,73.96636363636364
42,2010-12-13,,,42.0325,8.1175,1.138,71.20416666666667
43,2010-12-14,,,59.43333333333334,8.860833333333334,1.3875,50.68333333333334
44,2010-12-15,,,35.97875,7.134166666666666,0.595,54.01624999999999
45,2010-12-16,,,47.2635,8.2215,0.58,52.839
46,2010-12-17,,,33.73708333333334,7.174166666666667,,58.36416666666667
47,2010-12-18,,,34.99125,6.998333333333334,,57.21541666666667
48,2010-12-19,,,30.513125,9.670625,0.33,58.838750000000005
49,2010-12-20,,,21.80666666666667,5.506666666666667,,62.68333333333334
50,2010-12-21,,,,,,
51,2010-12-22,,,,,,
52,2010-12-23,,,,,,
53,2010-12-24,,,,,,
54,2010-12-25,,,,,,
55,2010-12-26,,,,,,
56,2010-12-27,,,40.759166666666665,6.83625,,13.44375
57,2010-12-28,,,42.439166666666665,7.240416666666667,0.11,18.15458333333333
58,2010-12-29,,,43.69,7.309166666666666,0.8363636363636363,20.455416666666668
59,2010-12-30,,,43.67166666666666,7.442083333333334,0.1,13.7875
60,2010-12-31,,,33.443333333333335,6.276666666666666,,10.7175
61,2011-01-01,,,18.659565217391304,6.614347826086957,,21.854347826086954
62,2011-01-02,,,18.158333333333335,6.8808333333333325,,18.19875
63,2011-01-03,,,19.87695652173913,7.184782608695652,0.065,22.64695652173913
64,2011-01-04,,,23.6825,6.201249999999999,,29.30666666666667
65,2011-01-05,,,21.722608695652173,7.503478260869565,0.03,16.207727272727272
66,2011-01-06,,,22.413636363636364,7.770909090909091,0.4466666666666667,12.232727272727272
67,2011-01-07,,,34.98384615384615,9.236153846153845,0.4025,13.216923076923077
68,2011-01-08,,,19.46625,6.785416666666666,,15.335416666666667
69,2011-01-09,,,27.408749999999998,6.9312499999999995,0.04,17.747916666666665
70,2011-01-10,,,19.645238095238096,7.028095238095238,,15.958095238095238
71,2011-01-11,,,28.2175,6.800833333333333,,19.972916666666666
72,2011-01-12,,,27.925833333333333,6.904583333333334,,18.254347826086956
73,2011-01-13,,,34.123333333333335,6.646666666666667,0.8955555555555557,13.64625
74,2011-01-14,,,16.916666666666668,6.753333333333334,1.2684615384615385,7.905416666666667
75,2011-01-15,,,5.504583333333334,6.500416666666666,0.195,13.795
76,2011-01-16,,,6.692916666666666,6.640833333333333,0.6466666666666666,26.405416666666667
77,2011-01-17,,,12.49375,6.729583333333333,1.0757142857142856,23.43521739130435
